trip_id,start_time,end_time,headway_secs
860D2V,8:34:00,9:32:00,870
860D2V,9:32:00,9:42:00,1200
860D2V,9:42:00,9:52:00,600
860D2V,9:52:00,22:20:00,768
860D0I,5:43:00,6:10:00,1620
860D0I,6:10:00,7:37:00,1305
860D0I,7:37:00,22:25:00,643
860D0V,5:20:00,6:05:00,2700
860D0V,6:05:00,7:11:00,1320
860D0V,7:11:00,7:33:00,1320
860D0V,7:33:00,7:44:00,1320
860D0V,7:44:00,7:54:00,600
860D0V,7:54:00,8:22:00,840
860D0V,8:22:00,8:31:00,1080
860D0V,8:31:00,8:40:00,540
860D0V,8:40:00,17:21:00,665
860D0V,17:21:00,17:32:00,1320
860D0V,17:32:00,17:43:00,660
860D0V,17:43:00,22:20:00,681
860D1I,5:43:00,6:30:00,2820
860D1I,6:30:00,7:36:00,1980
860D1I,7:36:00,8:35:00,885
860D1I,8:35:00,21:25:00,651
860D1I,21:25:00,21:37:00,1440
860D1I,21:37:00,21:50:00,780
860D1I,21:50:00,22:25:00,900
860D1V,5:20:00,6:05:00,2700
860D1V,6:05:00,7:12:00,2010
860D1V,7:12:00,8:10:00,870
860D1V,8:10:00,20:23:00,637
860D1V,20:23:00,22:20:00,857
933D0I,6:30:00,7:03:00,1980
933D0I,7:03:00,9:06:00,1230
933D0I,9:06:00,22:30:00,916
933D0V,6:00:00,6:30:00,1800
933D0V,6:30:00,7:19:00,1470
933D0V,7:19:00,9:24:00,1071
933D0V,9:24:00,9:38:00,1680
933D0V,9:38:00,9:51:00,780
933D0V,9:51:00,22:25:00,914
933D1I,7:45:00,8:20:00,2100
933D1I,8:20:00,22:15:00,1157
933D1V,7:15:00,7:50:00,2100
933D1V,7:50:00,8:36:00,1380
933D1V,8:36:00,22:15:00,1162
935D2I,8:00:00,8:23:00,1380
935D2I,8:23:00,22:40:00,1141
935D2V,8:00:00,8:24:00,1440
935D2V,8:24:00,22:30:00,1126
935D0I,6:50:00,7:12:00,1320
935D0I,7:12:00,21:50:00,732
935D0I,21:50:00,22:35:00,1200
935D0V,6:30:00,6:50:00,1200
935D0V,6:50:00,8:03:00,876
935D0V,8:03:00,8:13:00,1200
935D0V,8:13:00,8:24:00,330
935D0V,8:24:00,8:44:00,1200
935D0V,8:44:00,8:54:00,600
935D0V,8:54:00,21:21:00,723
935D0V,21:21:00,22:25:00,1260
935D1I,7:35:00,8:00:00,1500
935D1I,8:00:00,22:25:00,900
935D1V,7:10:00,7:36:00,1560
935D1V,7:36:00,8:58:00,1230
935D1V,8:58:00,22:30:00,882
936D0I,7:15:00,7:41:00,1560
936D0I,7:41:00,22:15:00,1131
936D0V,6:50:00,7:16:00,1560
936D0V,7:16:00,14:48:00,1004
936D0V,14:48:00,22:15:00,1317
966D2I,7:25:00,8:11:00,2760
966D2I,8:11:00,22:20:00,843
966D2V,7:00:00,7:46:00,2760
966D2V,7:46:00,19:50:00,869
966D2V,19:50:00,20:02:00,1440
966D2V,20:02:00,20:14:00,720
966D2V,20:14:00,22:20:00,743
966D0I,6:35:00,7:04:00,1740
966D0I,7:04:00,8:52:00,926
966D0I,8:52:00,15:12:00,713
966D0I,15:12:00,22:25:00,879
966D0V,6:10:00,6:34:00,1440
966D0V,6:34:00,7:12:00,1140
966D0V,7:12:00,8:27:00,900
966D0V,8:27:00,8:47:00,1800
966D0V,8:47:00,8:57:00,1200
966D0V,8:57:00,9:07:00,600
966D0V,9:07:00,22:20:00,786
966D1I,7:25:00,8:15:00,3000
966D1I,8:15:00,22:25:00,921
966D1V,7:00:00,7:48:00,2880
966D1V,7:48:00,22:20:00,924
967D2I,8:00:00,8:35:00,2100
967D2I,8:35:00,9:24:00,1470
967D2I,9:24:00,19:56:00,1149
967D2I,19:56:00,20:11:00,1800
967D2I,20:11:00,20:26:00,900
967D2I,20:26:00,22:05:00,1035
967D2V,7:30:00,8:02:00,1920
967D2V,8:02:00,21:08:00,1123
967D2V,21:08:00,22:15:00,940
967D0I,6:00:00,6:40:00,2400
967D0I,6:40:00,19:35:00,894
967D0I,19:35:00,22:05:00,960
967D0V,6:30:00,6:55:00,1500
967D0V,6:55:00,22:15:00,901
967D1I,7:05:00,7:36:00,1860
967D1I,7:36:00,8:27:00,1530
967D1I,8:27:00,22:05:00,1163
967D1V,6:35:00,7:35:00,3600
967D1V,7:35:00,8:28:00,1590
967D1V,8:28:00,22:10:00,1166
940D2I,7:00:00,7:33:00,1980
940D2I,7:33:00,8:23:00,1500
940D2I,8:23:00,20:01:00,931
940D2I,20:01:00,22:30:00,1270
940D2V,7:00:00,7:35:00,2100
940D2V,7:35:00,8:30:00,1650
940D2V,8:30:00,21:35:00,981
940D2V,21:35:00,22:25:00,1500
940D0I,6:00:00,6:35:00,2100
940D0I,6:35:00,18:02:00,778
940D0I,18:02:00,18:14:00,1380
940D0I,18:14:00,18:26:00,720
940D0I,18:26:00,22:15:00,852
940D0V,5:30:00,6:04:00,2040
940D0V,6:04:00,6:58:00,1620
940D0V,6:58:00,7:45:00,940
940D0V,7:45:00,22:15:00,763
940D1I,6:05:00,6:45:00,2400
940D1I,6:45:00,7:58:00,1460
940D1I,7:58:00,9:10:00,864
940D1I,9:10:00,9:20:00,1200
940D1I,9:20:00,9:31:00,660
940D1I,9:31:00,9:50:00,1140
940D1I,9:50:00,10:00:00,1140
940D1I,10:00:00,10:11:00,660
940D1I,10:11:00,21:29:00,830
940D1I,21:29:00,22:15:00,1200
940D1V,6:05:00,6:45:00,2400
940D1V,6:45:00,9:45:00,982
940D1V,9:45:00,20:48:00,796
940D1V,20:48:00,22:20:00,1320
941D2I,6:30:00,7:15:00,2700
941D2I,7:15:00,20:45:00,1510
941D2I,20:45:00,21:30:00,2700
941D2I,21:30:00,22:15:00,2700
941D2V,7:05:00,7:55:00,3000
941D2V,7:55:00,21:35:00,1485
941D2V,21:35:00,22:15:00,2400
941D0I,5:25:00,6:10:00,2700
941D0I,6:10:00,7:04:00,1620
941D0I,7:04:00,7:54:00,1000
941D0I,7:54:00,8:06:00,1440
941D0I,8:06:00,8:18:00,720
941D0I,8:18:00,8:41:00,1380
941D0I,8:41:00,8:53:00,1440
941D0I,8:53:00,9:05:00,720
941D0I,9:05:00,21:53:00,838
941D0I,21:53:00,22:15:00,1320
941D0V,6:00:00,6:27:00,1620
941D0V,6:27:00,22:15:00,831
941D1I,5:25:00,6:38:00,4380
941D1I,6:38:00,7:18:00,2400
941D1I,7:18:00,8:25:00,1340
941D1I,8:25:00,8:49:00,2220
941D1I,8:49:00,9:01:00,1440
941D1I,9:01:00,9:14:00,390
941D1I,9:14:00,9:38:00,1440
941D1I,9:38:00,9:50:00,720
941D1I,9:50:00,21:35:00,940
941D1I,21:35:00,22:10:00,2100
941D1V,6:00:00,6:40:00,2400
941D1V,6:40:00,7:38:00,1740
941D1V,7:38:00,21:51:00,966
941D1V,21:51:00,22:20:00,1740
970D2I,3:44:00,4:18:00,2040
970D2I,4:18:00,5:43:00,1700
970D2I,5:43:00,18:48:00,889
970D2I,18:48:00,22:00:00,1002
970D2V,3:28:00,4:02:00,2040
970D2V,4:02:00,5:27:00,1700
970D2V,5:27:00,18:27:00,883
970D2V,18:27:00,22:20:00,1135
970D0I,3:44:00,4:01:00,1020
970D0I,4:01:00,22:05:00,903
970D0V,3:28:00,3:45:00,1020
970D0V,3:45:00,22:15:00,911
970D1I,3:44:00,4:01:00,1020
970D1I,4:01:00,8:27:00,998
970D1I,8:27:00,11:09:00,648
970D1I,11:09:00,18:01:00,951
970D1I,18:01:00,20:54:00,1298
970D1I,20:54:00,22:05:00,855
970D1V,3:28:00,3:45:00,1020
970D1V,3:45:00,8:09:00,990
970D1V,8:09:00,10:45:00,624
970D1V,10:45:00,18:23:00,948
970D1V,18:23:00,21:16:00,1298
970D1V,21:16:00,22:15:00,840
963D0I,7:05:00,7:30:00,1500
963D0I,7:30:00,22:25:00,941
963D0V,6:30:00,6:55:00,1500
963D0V,6:55:00,9:58:00,915
