route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,FES,980D2V45,,0,9802,SHP_980_V
14,FES,980D2V46,,0,9802,SHP_980_V
14,FES,980D2V47,,0,9802,SHP_980_V
14,FES,980D2V48,,0,9802,SHP_980_V
14,FES,980D2V49,,0,9802,SHP_980_V
14,FES,980D2V50,,0,9802,SHP_980_V
14,FES,980D2V51,,0,9802,SHP_980_V
14,FES,980D2V52,,0,9802,SHP_980_V
14,FES,980D2V53,,0,9802,SHP_980_V
14,FES,980D2V54,,0,9802,SHP_980_V
14,FES,980D2V55,,0,9802,SHP_980_V
14,LAB,926D0V0,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V1,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V2,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V3,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V4,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V5,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V6,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V7,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V8,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V9,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V10,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V11,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V12,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V13,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V14,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V15,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V16,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V17,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V18,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V19,Estació del Nord,0,9260,SHP_926_V
14,LAB,926D0V20,Pinedo,0,9260,SHP_926_I
14,LAB,926D0V21,Pinedo,0,9260,SHP_926_I
